name,ARname,ingredients,ARingredients,diet,ARdiet,prep_time,cook_time,flavor_profile,course,ARflavor_profile,ARcourse,state,region
Kachori,كاتشوري,"Moong dal, rava, garam masala, dough, fennel seeds",مونج دال، رافا، جارام ماسالا، عجينة، بذور الشمر,vegetarian,نباتي,30,60,spicy,snack,بهارات,تسالي,Uttar Pradesh,North
Kadai paneer,كاداي بانير,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",جبنة قريش، فلفل حلو، مرق، جارام ماسالا، كاجو,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Kadhi pakoda,كادي باكودا,"Besan, garam masala powder, gram flour, ginger, curry leaves",بيسان، مسحوق جارام ماسالا، دقيق جرام، زنجبيل، أوراق الكاري,vegetarian,نباتي,10,60,spicy,main course,بهارات,طبق رئيسي,Haryana,North
Karela bharta,كاريلا بهارتا,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",القرع المر، الشمر، مسحوق جارام ماسالا، مسحوق الفلفل الحار، مسحوق الأمشور,vegetarian,نباتي,20,50,bitter,main course,مر,طبق رئيسي,Punjab,North
Khichdi,خيشدي,"Moong dal, green peas, ginger, tomato, green chili",مونج دال، بازلاء خضراء، زنجبيل، طماطم، فلفل أخضر حار,vegetarian,نباتي,40,20,spicy,main course,بهارات,طبق رئيسي,-1,-1
Kofta,كفتة,"Paneer, potato, cream, corn flour, garam masala",بانير، بطاطا، كريمة، دقيق الذرة، جارام ماسالا,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Uttar Pradesh,North
Kulfi falooda,كولفي فالودة,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",شراب الورد، فالودة سيف، مكسرات مشكلة، زعفران، سكر,vegetarian,نباتي,45,25,sweet,dessert,حلو,تحلية,-1,-1
Lauki ke kofte,لاوكي كه كفتة,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",زجاجة قرع، مسحوق جارام ماسالا، دقيق جرام، زنجبيل، فلفل حار,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Uttar Pradesh,North
Lauki ki subji,لاوكي كي سوبجي,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",قرع، زيت جوز الهند، جارام ماسالا، زنجبيل، فلفل أخضر حار,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,-1,-1
Litti chokha,ليتي تشوخا,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",دقيق القمح، دقيق الحمص المحمص، الطماطم، بذور حبة البركة، الفلفل الحار,vegetarian,نباتي,45,60,spicy,main course,بهارات,طبق رئيسي,Bihar,North
Makki di roti sarson da saag,ماكي دي روتي سارسون دا ساج,"Palak, makki atta, mustard green, garam masala, ginger",بالاك، مكي أتا، الخردل الأخضر، جارام ماسالا، زنجبيل,vegetarian,نباتي,25,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Misi roti,ميسي روتي,"Whole wheat flour, chickpea flour, green chilies",دقيق القمح الكامل، دقيق الحمص، الفلفل الأخضر,vegetarian,نباتي,30,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Mushroom do pyaza,فطر دو بيازا,"Mushroom, malai, garam masala, ginger, capsicum",فطر، مالاي، جارام ماسالا، زنجبيل، فليفلة,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Mushroom matar,مطر فطر,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",حليب جوز الهند المعلب، بازلاء خضراء مجمدة، فطر بري، جارام ماسالا، طماطم,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Naan,نان,"Whole wheat flour, honey, butter, garlic",دقيق القمح الكامل، العسل، الزبدة، الثوم,vegetarian,نباتي,60,30,-1,main course,,طبق رئيسي,Punjab,North
Navrattan korma,نافراتان كورما,"Green beans, potatoes, khus khus, low fat, garam masala powder",فاصوليا خضراء، بطاطا، خوص خاص، قليل الدسم، مسحوق جارام ماسالا,vegetarian,نباتي,25,40,spicy,main course,بهارات,طبق رئيسي,Uttar Pradesh,North
Palak paneer,بالاك بانير,"Cottage cheese, palak, cream, garam masala, butter",جبنة قريش، بالاك، كريمة، جارام ماسالا، زبدة,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Paneer butter masala,بانير زبدة ماسالا,"Paneer, whipping cream, garam masala, cashew nuts, butter",بانير، كريمة مخفوقة، جارام ماسالا، كاجو، زبدة,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Paneer tikka masala,بانير تكا ماسالا,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",بانير، زبادي يوناني، تندوري ماسالا، كريمة، فلفل حلو,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Pani puri,باني بوري,"Kala chana, mashed potato, boondi, sev, lemon",كالا شانا، بطاطا مهروسة، بوندي، سيف، ليمون,vegetarian,نباتي,15,2,spicy,snack,بهارات,تسالي,-1,-1
Panjeeri,بانجيري,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",دقيق القمح الكامل، بذور البطيخ المسك، بذور الخشخاش، العلكة الصالحة للأكل، السميد,vegetarian,نباتي,10,25,sweet,dessert,حلو,تحلية,Uttar Pradesh,
Papad,باباد,"Urad dal, sev, lemon juice, chopped tomatoes",أوراد دال، سيف، عصير ليمون، طماطم مقطعة,vegetarian,نباتي,5,5,spicy,snack,بهارات,تسالي,-1,-1
Paratha,باراثا,"Wheat flour, butter, potato, coriander",دقيق القمح، الزبدة، البطاطس، الكزبرة,vegetarian,نباتي,15,45,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Pattor,باتور,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",فطيرة أربي، بذور السمسم، جور، دقيق البنغال جرام، إيملي,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Rajasthan,West
Pindi chana,بيندي شانا,"Fennel, tea bags, tomato, kasuri methi, cinnamon",شمر، أكياس شاي، طماطم، كاسوري ميثي، قرفة,vegetarian,نباتي,500,120,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Rajma chaval,راجما شافال,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",فاصوليا حمراء، مسحوق جارام ماسالا، زنجبيل، طماطم، زيت الخردل,vegetarian,نباتي,15,90,spicy,main course,بهارات,طبق رئيسي,-1,North
Rongi,رونجي,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",مسحوق جارام ماسالا، طماطم، كاسوري ميثي، قرفة، زيت الخردل,vegetarian,نباتي,10,30,-1,main course,,طبق رئيسي,Punjab,North
Samosa,سمبوسة,"Potatoes, green peas, garam masala, ginger, dough",بطاطا، بازلاء خضراء، جارام ماسالا، زنجبيل وعجين,vegetarian,نباتي,30,30,spicy,snack,بهارات,تسالي,-1,-1
Sattu ki roti,ساتو كي روتي,"Sattu, atta, dough, filling, mustard oil",ساتو، عطا، عجين، حشوة، زيت خردل,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Bihar,North
Shahi paneer,شاهي بانير,"Cottage cheese, malai, garam masala, ginger, tomato",جبنة قريش، مالاي، جارام ماسالا، زنجبيل، طماطم,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Shahi tukra,شاهي توكرا,"Rose water, milk, white bread slices, saffron, almonds",ماء ورد، حليب، شرائح خبز أبيض، زعفران، لوز,vegetarian,نباتي,10,30,sweet,dessert,حلو,تحلية,Telangana,South
Vegetable jalfrezi,جالفريزي خضار,"Baby corn, french beans, garam masala, ginger, carrot",ذرة صغيرة، فاصوليا فرنسية، جارام ماسالا، زنجبيل، جزر,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Tandoori Chicken,دجاج تندوري,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",زبادي يوناني، جارام ماسالا، كاسوري ميثي، ماء مالح، زيت الخردل,non vegetarian,غير نباتي,240,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Tandoori Fish Tikka,تندوري سمك تكا,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",دقيق الحمص، مسحوق برياني ماسالا، زبادي، سمك فيليه، فلفل أخضر حلو,non vegetarian,غير نباتي,240,30,spicy,starter,بهارات,مقبلات,Punjab,North
Attu,أتو,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",دقيق القمح الكامل، أرهار دال، زنجبيل، كالا جيرا، فلفل أخضر حار,vegetarian,نباتي,150,25,spicy,snack,بهارات,مقبلات,Andhra Pradesh,South
Avial,أفيال,"Raw banana, elephant foot yam, long beans, tindora, urad dal",موز خام، بطاطا قدم الفيل، فاصوليا طويلة، تندورا، أوراد دال,vegetarian,نباتي,30,45,spicy,main course,بهارات,طبق رئيسي,Kerala,South
